Year,Month,Site,Sargassum,Proportion
2018,1,1,75,0.002
2018,5,1,1999,0.049
2018,6,1,3494,0.085
2018,7,1,3694,0.09
2018,8,1,1515,0.037
2018,9,1,13125,0.321
2018,10,1,3516,0.086
2018,11,1,4294,0.105
2018,12,1,4692,0.115
2018,2,1,2543,0.062
2018,3,1,667,0.016
2018,4,1,1320,0.032
2018,1,2,2060,0.092
2018,5,2,2349,0.105
2018,6,2,2559,0.115
2018,7,2,2030,0.091
2018,8,2,2465,0.111
2018,9,2,2094,0.094
2018,10,2,2661,0.119
2018,11,2,2500,0.112
2018,12,2,1336,0.06
2018,2,2,1020,0.046
2018,3,2,550,0.025
2018,4,2,676,0.03
2018,1,3,110,0.008
2018,5,3,426,0.03
2018,6,3,1158,0.081
2018,7,3,1213,0.084
2018,8,3,1437,0.1
2018,9,3,1807,0.126
2018,10,3,2058,0.143
2018,11,3,2641,0.184
2018,12,3,2564,0.178
2018,2,3,573,0.04
2018,3,3,109,0.008
2018,4,3,287,0.02
2018,1,4,300,0.02
2018,5,4,1160,0.079
2018,6,4,2925,0.199
2018,7,4,1075,0.073
2018,8,4,1155,0.079
2018,9,4,700,0.048
2018,10,4,1680,0.114
2018,11,4,2730,0.186
2018,12,4,1820,0.124
2018,2,4,490,0.033
2018,3,4,315,0.021
2018,4,4,350,0.024
2018,1,5,245,0.008
2018,5,5,2683,0.09
2018,6,5,3605,0.12
2018,7,5,2427,0.081
2018,8,5,4480,0.149
2018,9,5,4188,0.14
2018,10,5,1843,0.061
2018,11,5,2940,0.098
2018,12,5,4072,0.136
2018,2,5,1727,0.058
2018,3,5,607,0.02
2018,4,5,1155,0.039
2018,1,6,0,0
2018,5,6,908,0.057
2018,6,6,3897,0.245
2018,7,6,1589,0.1
2018,8,6,1608,0.101
2018,9,6,2459,0.154
2018,10,6,1003,0.063
2018,11,6,1532,0.096
2018,12,6,1438,0.09
2018,2,6,624,0.039
2018,3,6,435,0.027
2018,4,6,435,0.027
2018,1,7,387,0.022
2018,5,7,964,0.055
2018,6,7,2536,0.146
2018,7,7,1268,0.073
2018,8,7,1812,0.104
2018,9,7,2339,0.135
2018,10,7,1235,0.071
2018,11,7,2685,0.155
2018,12,7,2413,0.139
2018,2,7,972,0.056
2018,3,7,641,0.037
2018,4,7,124,0.007
2019,1,1,1275,0.021
2019,5,1,2518,0.042
2019,6,1,2150,0.036
2019,7,1,3205,0.054
2019,8,1,19470,0.325
2019,9,1,12568,0.21
2019,10,1,10396,0.174
2019,11,1,6308,0.105
2019,12,1,1488,0.025
2019,2,1,334,0.006
2019,3,1,19,0
2019,4,1,105,0.002
2019,1,2,979,0.074
2019,5,2,620,0.047
2019,6,2,762,0.058
2019,7,2,1392,0.105
2019,8,2,2993,0.227
2019,9,2,2207,0.167
2019,10,2,1696,0.128
2019,11,2,1528,0.116
2019,12,2,1034,0.078
2019,2,2,0,0
2019,3,2,0,0
2019,4,2,0,0
2019,1,3,402,0.057
2019,5,3,195,0.028
2019,6,3,407,0.058
2019,7,3,993,0.14
2019,8,3,1498,0.212
2019,9,3,1042,0.147
2019,10,3,1660,0.235
2019,11,3,602,0.085
2019,12,3,228,0.032
2019,2,3,0,0
2019,3,3,49,0.007
2019,4,3,0,0
2019,1,4,280,0.036
2019,5,4,280,0.036
2019,6,4,980,0.126
2019,7,4,2415,0.309
2019,8,4,1610,0.206
2019,9,4,1750,0.224
2019,10,4,350,0.045
2019,11,4,0,0
2019,12,4,140,0.018
2019,2,4,0,0
2019,3,4,0,0
2019,4,4,0,0
2019,1,5,898,0.035
2019,5,5,1400,0.054
2019,6,5,1318,0.051
2019,7,5,3698,0.142
2019,8,5,5507,0.212
2019,9,5,5390,0.207
2019,10,5,4760,0.183
2019,11,5,1377,0.053
2019,12,5,887,0.034
2019,2,5,770,0.03
2019,3,5,0,0
2019,4,5,0,0
2019,1,6,908,0.05
2019,5,6,1930,0.105
2019,6,6,473,0.026
2019,7,6,2686,0.147
2019,8,6,10443,0.571
2019,9,6,611,0.033
2019,10,6,351,0.019
2019,11,6,259,0.014
2019,12,6,643,0.035
2019,2,6,0,0
2019,3,6,0,0
2019,4,6,0,0
2019,1,7,601,0.036
2019,5,7,799,0.048
2019,6,7,1087,0.065
2019,7,7,1351,0.081
2019,8,7,4431,0.265
2019,9,7,4085,0.245
2019,10,7,2341,0.14
2019,11,7,1565,0.094
2019,12,7,445,0.027
2019,2,7,0,0
2019,3,7,0,0
2019,4,7,0,0
2018,1,Sea,2975.06,0.007868314
2018,2,Sea,54943.2,0.145311478
2018,3,Sea,60974,0.161261486
2018,4,Sea,18452.9,0.048803458
2018,5,Sea,50949.7,0.134749637
2018,6,Sea,26651.2,0.07048598
2018,7,Sea,26557.2,0.070237372
2018,8,Sea,55605.4,0.147062837
2018,9,Sea,51499.6,0.136203989
2018,10,Sea,14951.6,0.039543367
2018,11,Sea,5608.77,0.01483384
2018,12,Sea,8937.77,0.02363824
2019,13,Sea,17299.6,0.100490072
2019,14,Sea,22413.2,0.130193997
2019,15,Sea,7285.45,0.042319787
2019,16,Sea,36668,0.212997408
2019,17,Sea,19246.3,0.11179808
2019,18,Sea,10706.3,0.062190852
2019,19,Sea,38307.2,0.222519207
2019,20,Sea,12817.3,0.074453247
2019,21,Sea,6715.34,0.039008127
2019,22,Sea,122.778,0.000713194
2019,23,Sea,177.893,0.001033346
2019,24,Sea,392.969,0.002282682
2018,1,EEZ,598.46,0.001516266
2018,2,EEZ,8400.99,0.021284864
2018,3,EEZ,14004.1,0.035480981
2018,4,EEZ,35529.5,0.09001803
2018,5,EEZ,66915.2,0.169537272
2018,6,EEZ,68973.8,0.174752969
2018,7,EEZ,71743.4,0.181770066
2018,8,EEZ,65489,0.165923832
2018,9,EEZ,28617.1,0.072504679
2018,10,EEZ,12075.5,0.030594653
2018,11,EEZ,8009.5,0.020292979
2018,12,EEZ,14336.6,0.036323407
2019,13,EEZ,23734.5,0.094205889
2019,14,EEZ,25094.7,0.099604732
2019,15,EEZ,14232.2,0.056489795
2019,16,EEZ,46489,0.184522006
2019,17,EEZ,34143.2,0.135519623
2019,18,EEZ,35248,0.139904745
2019,19,EEZ,49063.8,0.194741784
2019,20,EEZ,13263,0.052642891
2019,21,EEZ,6099.71,0.024210689
2019,22,EEZ,646.379,0.002565578
2019,23,EEZ,1649.97,0.006548985
2019,24,EEZ,2278.39,0.009043281
