date,Year,Month,Day,Site,km,Vol,m3km,ws,wd,SeaTemp
1/1/2018,2018,1,1,A,2.2,0,0,2.94,209.46,26.08
2/1/2018,2018,1,2,A,2.2,0,0,4.02,211.99,24.99
3/1/2018,2018,1,3,A,2.2,0,0,2.26,315.16,24.35
4/1/2018,2018,1,4,A,2.2,0,0,2.62,298.51,24.16
5/1/2018,2018,1,5,A,2.2,0,0,3.43,222,23.35
6/1/2018,2018,1,6,A,2.2,0,0,5.71,138.44,23.38
7/1/2018,2018,1,7,A,2.2,0,0,8.03,111.88,24.44
8/1/2018,2018,1,8,A,2.2,0,0,5.17,118.87,25.72
9/1/2018,2018,1,9,A,2.2,0,0,2.45,212.77,26.23
10/1/2018,2018,1,10,A,2.2,0,0,2.96,203.17,26.12
11/1/2018,2018,1,11,A,2.2,0,0,6.12,144.42,25.98
12/1/2018,2018,1,12,A,2.2,0,0,3.38,280.76,26.27
13/01/2018,2018,1,13,A,2.2,0,0,2.64,299.9,24.94
14/01/2018,2018,1,14,A,2.2,0,0,3.93,232.45,23.71
15/01/2018,2018,1,15,A,2.2,0,0,3.78,222.68,22.71
16/01/2018,2018,1,16,A,2.2,0,0,4.46,192.62,22.94
17/01/2018,2018,1,17,A,2.2,0,0,3.52,250.7,24.29
18/01/2018,2018,1,18,A,2.2,0,0,6.95,75.37,24.03
19/01/2018,2018,1,19,A,2.2,0,0,7.22,59.38,23.26
20/01/2018,2018,1,20,A,2.2,0,0,6.86,81.24,24.57
21/01/2018,2018,1,21,A,2.2,0,0,7.48,90.78,25.36
22/01/2018,2018,1,22,A,2.2,0,0,5.94,124.44,26.09
23/01/2018,2018,1,23,A,2.2,0,0,4.1,104.24,26.42
24/01/2018,2018,1,24,A,2.2,0,0,6.57,100.02,26.32
25/01/2018,2018,1,25,A,2.2,0,0,9.75,56.32,25.43
26/01/2018,2018,1,26,A,2.2,0,0,9.74,82.4,25.35
27/01/2018,2018,1,27,A,2.2,0,0,9.36,100.59,25.79
28/01/2018,2018,1,28,A,2.2,166,75.45,3.92,194.97,26.1
29/01/2018,2018,1,29,A,2.2,0,0,3.39,200.97,26.16
30/01/2018,2018,1,30,A,2.2,0,0,8.75,44.97,24.97
31/01/2018,2018,1,31,A,2.2,0,0,7.29,59.39,23.52
1/2/2018,2018,2,1,A,2.2,0,0,5.16,93.76,25.19
2/2/2018,2018,2,2,A,2.2,0,0,5.32,97.31,25.91
3/2/2018,2018,2,3,A,2.2,0,0,5.45,130.02,26.06
4/2/2018,2018,2,4,A,2.2,84,38.18,5.05,148.89,26.3
5/2/2018,2018,2,5,A,2.2,56,25.45,4.62,109.52,26.54
6/2/2018,2018,2,6,A,2.2,42,19.09,6.6,98.15,26.46
7/2/2018,2018,2,7,A,2.2,84,38.18,6.85,109.24,26.43
8/2/2018,2018,2,8,A,2.2,74,33.64,6.97,77.9,26.63
9/2/2018,2018,2,9,A,2.2,91,41.36,7.08,89.83,26.38
10/2/2018,2018,2,10,A,2.2,231,105,7.03,123.33,26.6
11/2/2018,2018,2,11,A,2.2,224,101.82,7.79,134.82,26.72
12/2/2018,2018,2,12,A,2.2,294,133.64,7.45,110.58,26.98
13/02/2018,2018,2,13,A,2.2,189,85.91,7.93,82,26.63
14/02/2018,2018,2,14,A,2.2,210,95.45,8.43,88.15,26.41
15/02/2018,2018,2,15,A,2.2,182,82.73,7.23,96.55,26.42
16/02/2018,2018,2,16,A,2.2,182,82.73,6.28,103.41,26.17
17/02/2018,2018,2,17,A,2.2,63,28.64,6.09,102.37,26.51
18/02/2018,2018,2,18,A,2.2,154,70,7.05,95.39,26.45
19/02/2018,2018,2,19,A,2.2,133,60.45,7.56,113.65,26.27
20/02/2018,2018,2,20,A,2.2,147,66.82,9.03,115.53,26.45
21/02/2018,2018,2,21,A,2.2,143,65,8.95,109.04,26.53
22/02/2018,2018,2,22,A,2.2,231,105,7.16,111.95,26.05
23/02/2018,2018,2,23,A,2.2,203,92.27,7.12,100.43,26.36
24/02/2018,2018,2,24,A,2.2,189,85.91,7.27,121.34,26.38
25/02/2018,2018,2,25,A,2.2,110,50,6.42,130.74,26.63
26/02/2018,2018,2,26,A,2.2,101,45.91,5.2,116.37,26.79
27/02/2018,2018,2,27,A,2.2,630,286.36,5.51,85.8,27.18
28/02/2018,2018,2,28,A,2.2,350,159.09,5.64,125.51,27.01
1/3/2018,2018,3,1,A,2.2,427,194.09,6.01,146.21,26.8
2/3/2018,2018,3,2,A,2.2,300,136.36,5.56,116.23,27.21
3/3/2018,2018,3,3,A,2.2,220,100,5.43,76.58,27.33
4/3/2018,2018,3,4,A,2.2,112,50.91,6.32,58.64,26.69
5/3/2018,2018,3,5,A,2.2,58,26.36,4.93,113.28,26.11
6/3/2018,2018,3,6,A,2.2,168,76.36,6.2,152.16,25.8
7/3/2018,2018,3,7,A,2.2,126,57.27,4.25,132.97,26.19
8/3/2018,2018,3,8,A,2.2,287,130.45,5.66,142.92,26.4
9/3/2018,2018,3,9,A,2.2,291,132.27,7.6,85,25.37
10/3/2018,2018,3,10,A,2.2,140,63.64,8.13,149.1,25.99
11/3/2018,2018,3,11,A,2.2,172,78.18,6.79,161.41,26.85
12/3/2018,2018,3,12,A,2.2,266,120.91,5.6,180.51,26.39
13/03/2018,2018,3,13,A,2.2,266,120.91,6.44,120.19,26.42
14/03/2018,2018,3,14,A,2.2,336,152.73,6.44,120.19,26.42
15/03/2018,2018,3,15,A,2.2,168,76.36,6.44,120.19,26.42
16/03/2018,2018,3,16,A,2.2,224,101.82,6.44,120.19,26.42
17/03/2018,2018,3,17,A,2.2,210,95.45,6.44,120.19,26.42
18/03/2018,2018,3,18,A,2.2,189,85.91,6.44,120.19,26.42
19/03/2018,2018,3,19,A,2.2,140,63.64,6.44,120.19,26.42
20/03/2018,2018,3,20,A,2.2,161,73.18,6.44,120.19,26.42
21/03/2018,2018,3,21,A,2.2,560,254.55,6.44,120.19,26.42
22/03/2018,2018,3,22,A,2.2,532,241.82,6.44,120.19,26.42
23/03/2018,2018,3,23,A,2.2,119,54.09,5.83,69.44,25.24
24/03/2018,2018,3,24,A,2.2,161,73.18,6.25,112.18,25.45
25/03/2018,2018,3,25,A,2.2,133,60.45,6.28,126.75,26.18
26/03/2018,2018,3,26,A,2.2,150,68.18,7.34,114.13,26.4
27/03/2018,2018,3,27,A,2.2,185,84.09,8.65,109.88,26.46
28/03/2018,2018,3,28,A,2.2,220,100,8.79,119.55,26.52
29/03/2018,2018,3,29,A,2.2,98,44.55,8.78,142.93,26.79
30/03/2018,2018,3,30,A,2.2,623,283.18,5.87,130.01,27.27
31/03/2018,2018,3,31,A,2.2,644,292.73,4.94,84.13,27.4
1/4/2018,2018,4,1,A,2.2,518,235.45,4.45,166.01,27.89
2/4/2018,2018,4,2,A,2.2,140,63.64,5.51,111.67,27.76
3/4/2018,2018,4,3,A,2.2,147,66.82,7.47,127.37,27.53
4/4/2018,2018,4,4,A,2.2,182,82.73,6.26,114.21,27.61
5/4/2018,2018,4,5,A,2.2,217,98.64,5.65,77.93,28.21
6/4/2018,2018,4,6,A,2.2,259,117.73,5.36,123.92,28.32
7/4/2018,2018,4,7,A,2.2,196,89.09,7.75,159.63,28.03
8/4/2018,2018,4,8,A,2.2,161,73.18,7.76,160.19,28.13
9/4/2018,2018,4,9,A,2.2,329,149.55,8.57,155.98,27.99
10/4/2018,2018,4,10,A,2.2,273,124.09,6.36,138.35,27.91
11/4/2018,2018,4,11,A,2.2,243,110.45,4.92,109.07,28.46
12/4/2018,2018,4,12,A,2.2,189,85.91,5.3,106.93,29.03
13/04/2018,2018,4,13,A,2.2,133,60.45,7.07,130.19,28.69
14/04/2018,2018,4,14,A,2.2,420,190.91,9.02,147.76,28.04
15/04/2018,2018,4,15,A,2.2,252,114.55,6.11,217.61,27.41
16/04/2018,2018,4,16,A,2.2,672,305.45,4.97,213,26.48
17/04/2018,2018,4,17,A,2.2,497,225.91,4.87,152.31,26.19
18/04/2018,2018,4,18,A,2.2,560,254.55,5.46,118.51,26.39
19/04/2018,2018,4,19,A,2.2,639,290.45,5.94,93.82,27.72
20/04/2018,2018,4,20,A,2.2,175,79.55,5.3,106.03,27.84
21/04/2018,2018,4,21,A,2.2,112,50.91,6.02,103.31,28.31
22/04/2018,2018,4,22,A,2.2,217,98.64,5.95,129.31,28.7
23/04/2018,2018,4,23,A,2.2,231,105,5.04,150.29,28.84
24/04/2018,2018,4,24,A,2.2,126,57.27,4.77,161.45,29.1
25/04/2018,2018,4,25,A,2.2,560,254.55,3.89,194.41,29.07
26/04/2018,2018,4,26,A,2.2,280,127.27,3.77,219.5,28.68
27/04/2018,2018,4,27,A,2.2,210,95.45,3.37,198.35,28.31
28/04/2018,2018,4,28,A,2.2,70,31.82,5.61,136.26,28.41
29/04/2018,2018,4,29,A,2.2,119,54.09,6.72,71.64,28.4
30/04/2018,2018,4,30,A,2.2,0,0,5.78,72.83,28.56
1/5/2018,2018,5,1,A,2.2,266,120.91,5.15,104.58,28.84
2/5/2018,2018,5,2,A,2.2,175,79.55,6.33,82.99,29.33
3/5/2018,2018,5,3,A,2.2,224,101.82,6.26,73.29,29.36
4/5/2018,2018,5,4,A,2.2,119,54.09,5.76,101.74,29.3
5/5/2018,2018,5,5,A,2.2,49,22.27,5.72,79.37,28.9
6/5/2018,2018,5,6,A,2.2,216,98.18,4.05,206.88,28.51
7/5/2018,2018,5,7,A,2.2,0,0,4.21,212.13,28.21
8/5/2018,2018,5,8,A,2.2,63,28.64,4.7,175.77,28.29
9/5/2018,2018,5,9,A,2.2,70,31.82,3.63,166.08,28.53
10/5/2018,2018,5,10,A,2.2,175,79.55,4.13,112.17,29.24
11/5/2018,2018,5,11,A,2.2,252,114.55,4.33,131.67,29.68
12/5/2018,2018,5,12,A,2.2,435,197.73,5.34,145,29.51
13/05/2018,2018,5,13,A,2.2,322,146.36,4.62,109.4,28.93
14/05/2018,2018,5,14,A,2.2,147,66.82,3.73,169.79,29.62
15/05/2018,2018,5,15,A,2.2,175,79.55,4.8,183.4,29.55
16/05/2018,2018,5,16,A,2.2,140,63.64,4.8,172.75,29.11
17/05/2018,2018,5,17,A,2.2,0,0,5.36,131.3,28.77
18/05/2018,2018,5,18,A,2.2,504,229.09,5.55,135.21,28.91
19/05/2018,2018,5,19,A,2.2,0,0,6.56,109.5,28.93
20/05/2018,2018,5,20,A,2.2,0,0,5.68,96.08,29.15
21/05/2018,2018,5,21,A,2.2,0,0,6.09,114.59,28.91
22/05/2018,2018,5,22,A,2.2,0,0,7.42,109.9,28.55
23/05/2018,2018,5,23,A,2.2,0,0,7.22,124.89,28.52
24/05/2018,2018,5,24,A,2.2,0,0,9.06,125.97,27.79
25/05/2018,2018,5,25,A,2.2,0,0,7.38,95.86,27.64
26/05/2018,2018,5,26,A,2.2,0,0,2.49,298.12,28.22
