Date,Year,Month,Site,Distance,ReefInFront,Volume,m3km
2018-01,2018,1,A,2.2,Protected,166,75
2018-02,2018,2,A,2.2,Protected,4397,1999
2018-03,2018,3,A,2.2,Protected,7686,3494
2018-04,2018,4,A,2.2,Protected,8127,3694
2018-05,2018,5,A,2.2,Protected,3332,1515
2018-06,2018,6,A,2.2,Protected,28875,13125
2018-07,2018,7,A,2.2,Protected,7735,3516
2018-08,2018,8,A,2.2,Protected,9446,4294
2018-09,2018,9,A,2.2,Protected,10322,4692
2018-10,2018,10,A,2.2,Protected,5594,2543
2018-11,2018,11,A,2.2,Protected,1467,667
2018-12,2018,12,A,2.2,Protected,2904,1320
2019-01,2019,1,A,2.2,Protected,2804,1275
2019-02,2019,2,A,2.2,Protected,5539,2518
2019-03,2019,3,A,2.2,Protected,4730,2150
2019-04,2019,4,A,2.2,Protected,7052,3205
2019-05,2019,5,A,2.2,Protected,42835,19470
2019-06,2019,6,A,2.2,Protected,27650,12568
2019-07,2019,7,A,2.2,Protected,22871,10396
2019-08,2019,8,A,2.2,Protected,13878,6308
2019-09,2019,9,A,2.2,Protected,3273,1488
2019-10,2019,10,A,2.2,Protected,734,334
2019-11,2019,11,A,2.2,Protected,42,19
2019-12,2019,12,A,2.2,Protected,231,105
2018-01,2018,1,B,1,Exposed,2060,2060
2018-02,2018,2,B,1,Exposed,2349,2349
2018-03,2018,3,B,1,Exposed,2559,2559
2018-04,2018,4,B,1,Exposed,2030,2030
2018-05,2018,5,B,1,Exposed,2465,2465
2018-06,2018,6,B,1,Exposed,2094,2094
2018-07,2018,7,B,1,Exposed,2661,2661
2018-08,2018,8,B,1,Exposed,2500,2500
2018-09,2018,9,B,1,Exposed,1336,1336
2018-10,2018,10,B,1,Exposed,1020,1020
2018-11,2018,11,B,1,Exposed,550,550
2018-12,2018,12,B,1,Exposed,676,676
2019-01,2019,1,B,1,Exposed,979,979
2019-02,2019,2,B,1,Exposed,620,620
2019-03,2019,3,B,1,Exposed,762,762
2019-04,2019,4,B,1,Exposed,1392,1392
2019-05,2019,5,B,1,Exposed,2993,2993
2019-06,2019,6,B,1,Exposed,2207,2207
2019-07,2019,7,B,1,Exposed,1696,1696
2019-08,2019,8,B,1,Exposed,1528,1528
2019-09,2019,9,B,1,Exposed,1034,1034
2019-10,2019,10,B,1,Exposed,0,0
2019-11,2019,11,B,1,Exposed,0,0
2019-12,2019,12,B,1,Exposed,0,0
2018-01,2018,1,C,0.9,Intermediate,100,111
2018-02,2018,2,C,0.9,Intermediate,366,426
2018-03,2018,3,C,0.9,Intermediate,996,1158
2018-04,2018,4,C,0.9,Intermediate,1043,1213
2018-05,2018,5,C,0.9,Intermediate,1236,1437
2018-06,2018,6,C,0.9,Intermediate,1554,1807
2018-07,2018,7,C,0.9,Intermediate,1770,2058
2018-08,2018,8,C,0.9,Intermediate,2271,2641
2018-09,2018,9,C,0.9,Intermediate,2205,2564
2018-10,2018,10,C,0.9,Intermediate,493,573
2018-11,2018,11,C,0.9,Intermediate,94,109
2018-12,2018,12,C,0.9,Intermediate,247,287
2019-01,2019,1,C,0.9,Intermediate,346,402
2019-02,2019,2,C,0.9,Intermediate,168,195
2019-03,2019,3,C,0.9,Intermediate,350,407
2019-04,2019,4,C,0.9,Intermediate,854,993
2019-05,2019,5,C,0.9,Intermediate,1288,1498
2019-06,2019,6,C,0.9,Intermediate,896,1042
2019-07,2019,7,C,0.9,Intermediate,1428,1660
2019-08,2019,8,C,0.9,Intermediate,518,602
2019-09,2019,9,C,0.9,Intermediate,196,228
2019-10,2019,10,C,0.9,Intermediate,0,0
2019-11,2019,11,C,0.9,Intermediate,42,49
2019-12,2019,12,C,0.9,Intermediate,0,0
2018-01,2018,1,D,0.2,Protected,60,300
2018-02,2018,2,D,0.2,Protected,232,1160
2018-03,2018,3,D,0.2,Protected,585,2925
2018-04,2018,4,D,0.2,Protected,215,1075
2018-05,2018,5,D,0.2,Protected,231,1155
2018-06,2018,6,D,0.2,Protected,140,700
2018-07,2018,7,D,0.2,Protected,336,1680
2018-08,2018,8,D,0.2,Protected,546,2730
2018-09,2018,9,D,0.2,Protected,364,1820
2018-10,2018,10,D,0.2,Protected,98,490
2018-11,2018,11,D,0.2,Protected,63,315
2018-12,2018,12,D,0.2,Protected,70,350
2019-01,2019,1,D,0.2,Protected,56,280
2019-02,2019,2,D,0.2,Protected,56,280
2019-03,2019,3,D,0.2,Protected,196,980
2019-04,2019,4,D,0.2,Protected,483,2415
2019-05,2019,5,D,0.2,Protected,322,1610
2019-06,2019,6,D,0.2,Protected,350,1750
2019-07,2019,7,D,0.2,Protected,70,350
2019-08,2019,8,D,0.2,Protected,0,0
2019-09,2019,9,D,0.2,Protected,28,140
2019-10,2019,10,D,0.2,Protected,0,0
2019-11,2019,11,D,0.2,Protected,0,0
2019-12,2019,12,D,0.2,Protected,0,0
2018-01,2018,1,E,0.6,Exposed,147,245
2018-02,2018,2,E,0.6,Exposed,1610,2683
2018-03,2018,3,E,0.6,Exposed,2163,3605
2018-04,2018,4,E,0.6,Exposed,1456,2427
2018-05,2018,5,E,0.6,Exposed,2688,4480
2018-06,2018,6,E,0.6,Exposed,2513,4188
2018-07,2018,7,E,0.6,Exposed,1106,1843
2018-08,2018,8,E,0.6,Exposed,1764,2940
2018-09,2018,9,E,0.6,Exposed,2443,4072
2018-10,2018,10,E,0.6,Exposed,1036,1727
2018-11,2018,11,E,0.6,Exposed,364,607
2018-12,2018,12,E,0.6,Exposed,693,1155
2019-01,2019,1,E,0.6,Exposed,539,898
2019-02,2019,2,E,0.6,Exposed,840,1400
2019-03,2019,3,E,0.6,Exposed,791,1318
2019-04,2019,4,E,0.6,Exposed,2219,3698
2019-05,2019,5,E,0.6,Exposed,3304,5507
2019-06,2019,6,E,0.6,Exposed,3234,5390
2019-07,2019,7,E,0.6,Exposed,2856,4760
2019-08,2019,8,E,0.6,Exposed,826,1377
2019-09,2019,9,E,0.6,Exposed,532,887
2019-10,2019,10,E,0.6,Exposed,462,770
2019-11,2019,11,E,0.6,Exposed,0,0
2019-12,2019,12,E,0.6,Exposed,0,0
2018-01,2018,1,F,0.4,Exposed,0,0
2018-02,2018,2,F,0.4,Exposed,336,908
2018-03,2018,3,F,0.4,Exposed,1442,3897
2018-04,2018,4,F,0.4,Exposed,588,1589
2018-05,2018,5,F,0.4,Exposed,595,1608
2018-06,2018,6,F,0.4,Exposed,910,2459
2018-07,2018,7,F,0.4,Exposed,371,1003
2018-08,2018,8,F,0.4,Exposed,567,1532
2018-09,2018,9,F,0.4,Exposed,532,1438
2018-10,2018,10,F,0.4,Exposed,231,624
2018-11,2018,11,F,0.4,Exposed,161,435
2018-12,2018,12,F,0.4,Exposed,161,435
2019-01,2019,1,F,0.4,Exposed,336,908
2019-02,2019,2,F,0.4,Exposed,714,1930
2019-03,2019,3,F,0.4,Exposed,175,473
2019-04,2019,4,F,0.4,Exposed,994,2686
2019-05,2019,5,F,0.4,Exposed,3864,10443
2019-06,2019,6,F,0.4,Exposed,226,611
2019-07,2019,7,F,0.4,Exposed,130,351
2019-08,2019,8,F,0.4,Exposed,96,259
2019-09,2019,9,F,0.4,Exposed,238,643
2019-10,2019,10,F,0.4,Exposed,0,0
2019-11,2019,11,F,0.4,Exposed,0,0
2019-12,2019,12,F,0.4,Exposed,0,0
2018-01,2018,1,G,1.7,Exposed,658,387
2018-02,2018,2,G,1.7,Exposed,1638,964
2018-03,2018,3,G,1.7,Exposed,4312,2536
2018-04,2018,4,G,1.7,Exposed,2156,1268
2018-05,2018,5,G,1.7,Exposed,3080,1812
2018-06,2018,6,G,1.7,Exposed,3976,2339
2018-07,2018,7,G,1.7,Exposed,2100,1235
2018-08,2018,8,G,1.7,Exposed,4564,2685
2018-09,2018,9,G,1.7,Exposed,4102,2413
2018-10,2018,10,G,1.7,Exposed,1652,972
2018-11,2018,11,G,1.7,Exposed,1090,641
2018-12,2018,12,G,1.7,Exposed,210,124
2019-01,2019,1,G,1.7,Exposed,1022,601
2019-02,2019,2,G,1.7,Exposed,1358,799
2019-03,2019,3,G,1.7,Exposed,1848,1087
2019-04,2019,4,G,1.7,Exposed,2296,1351
2019-05,2019,5,G,1.7,Exposed,7532,4431
2019-06,2019,6,G,1.7,Exposed,6944,4085
2019-07,2019,7,G,1.7,Exposed,3980,2341
2019-08,2019,8,G,1.7,Exposed,2660,1565
2019-09,2019,9,G,1.7,Exposed,756,445
2019-10,2019,10,G,1.7,Exposed,0,0
2019-11,2019,11,G,1.7,Exposed,0,0
2019-12,2019,12,G,1.7,Exposed,0,0
